GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Convert,org.klojang.convert,ToIntConversion,41,96,8,14,5,15,8,13,3,7
Klojang Convert,org.klojang.convert,MorphToEnum,6,59,2,8,2,10,3,5,1,2
Klojang Convert,org.klojang.convert,ToBigIntegerConversion,19,58,1,3,7,16,3,6,2,5
Klojang Convert,org.klojang.convert,ToShortConversion,6,153,0,26,2,18,1,24,1,11
Klojang Convert,org.klojang.convert,EnumParser,15,213,0,18,4,31,0,19,0,10
Klojang Convert,org.klojang.convert,MorphToArray,7,168,1,21,2,40,2,16,1,6
Klojang Convert,org.klojang.convert,EnumParser.ParseTarget,0,27,0,0,0,5,0,1,0,1
Klojang Convert,org.klojang.convert,ToLongConversion,3,127,4,22,1,29,5,16,1,7
Klojang Convert,org.klojang.convert,Morph,58,92,12,16,13,27,9,9,0,4
Klojang Convert,org.klojang.convert,MorphToCollection,45,165,2,12,10,36,8,16,6,11
Klojang Convert,org.klojang.convert,ToDoubleConversion,6,74,0,8,2,20,1,9,1,5
Klojang Convert,org.klojang.convert,ToByteConversion,36,134,7,21,5,15,7,20,3,10
Klojang Convert,org.klojang.convert,NumberMethods,42,922,5,99,11,198,6,102,1,55
Klojang Convert,org.klojang.convert,MorphToNumber,6,121,1,21,2,26,2,14,1,4
Klojang Convert,org.klojang.convert,Bool,25,265,9,47,1,50,9,45,0,26
Klojang Convert,org.klojang.convert,TypeConversionException,6,142,4,12,2,23,6,10,2,6
Klojang Convert,org.klojang.convert,ToBigDecimalConversion,8,3,0,0,3,1,2,1,2,1
Klojang Convert,org.klojang.convert,ToFloatConversion,6,108,0,14,2,22,1,13,1,6
